quartier;population
Belsunce;8825
Chapitre;6497
Noailles;4304
Opéra;5468
Saint-Charles;8390
Thiers;4995
Arenc;1668
Grands-Carmes;6899
Hôtel-de-Ville;5639
La Joliette;9945
Belle-de-Mai;15649
Saint-Lazare;13855
Saint-Mauront;16300
Villette;9847
Blancarde;15582
Chartreux;11311
Chutes Lavie;9407
Cinq-Avenues;13441
Baille;9803
Camas;15714
Conception;10484
Saint-Pierre;9017
Castellane;6152
Lodi;9118
Notre-Dame-du-Mont;6266
Palais-de-Justice;4902
Préfecture;3086
Vauban;9277
Bompard;4052
Endoume;4761
Les Iles;224
Pharo;6536
Roucas-Blanc;3474
Saint-Lambert;9168
Saint-Victor;6647
Bonneveine;5665
Les Goudes;592
Montredon;5440
Périer;13377
La Plage;2732
Pointe-Rouge;8598
Rouet;13703
Saint-Giniez;15279
Sainte-Anne;10078
Vieille-Chapelle;7945
Baumettes;6691
Le Cabot;11274
Carpiagne;525
Mazargues;17810
La Panouse;5725
Redon;5547
Sormiou;7576
Sainte-Marguerite;20583
Vaufrèges;610
Capelette;13324
Menpenti;4234
Pont-de-Vivaux;6654
Saint-Loup;15413
Saint-Tronc;14659
La Timone;5564
Les Accates;2145
La Barasse;2263
Les Camoins;5419
Eoures;1524
La Millière;2852
La Pomme;18672
Saint-Marcel;10218
Saint-Menet;2928
La Treille;972
La Valbarelle;8768
La Valentine;3266
Les Caillols;10893
La Fourragère;8070
Montolivet;12486
Saint-Barnabé;12003
Saint-Jean-du-Désert;4019
Saint-Julien;10700
Les Trois-Lucs;6101
Château-Gombert;8498
Croix-Rouge;7023
Malpassé;9941
Les Médecins;1385
Mourets;1804
Les Olives;15176
Palama;2469
La Rose;13528
Saint-Jérôme;9439
Saint-Just;15275
Saint-Mitre;8881
Les Arnavaux;5630
Bon-Secours;8997
Le Canet;7982
Le Merlan;9970
Saint-Barthélemy;16468
Saint-Joseph;4466
Sainte-Marthe;5713
Les Aygalades;6075
Borels;2226
La Cabucelle;8801
La Calade;6753
Les Crottes;3686
La Delorme;6437
Notre-Dame-Limite;11528
Saint-Antoine;7291
Saint-Louis;11732
Verduron;8301
La Viste;6665
L'Estaque;5807
Les Riaux;722
Saint-André;3739
Saint-Henri;5145
